_id_cancion,titulo,duracion,genero,fecha_lanzamiento,calidad_audio,id_album,id_artista,_id_artista,nombre_artistico,pais_origen,_id,titulo_album,año_publicacion,id_artista_album,_id_usuario,nombre,correo,contraseña,tipo_cuenta,fecha_creacion,fecha_expiracion_suscripcion,estado_actividad,preferencias,_id_lista,nombre_lista,id_usuario,visibilidad,colaborativa,limite_canciones
cancion_billie_jean,Billie Jean,294,Pop,1982-11-30,320kbps,album_thriller,artista_michael,artista_michael,Michael Jackson,Estados Unidos,album_thriller,Thriller,1982,artista_michael,usuario_guillermo,Guillermo,guillermo@email.com,hash_password_123,premium,2025-10-20 18:07:06,2025-12-31,activo,"rock, metal",lista_rock_guillermo,Rock Classics,usuario_guillermo,publica,FALSE,50
cancion_beat_it,Beat It,258,Pop,1982-11-30,320kbps,album_thriller,artista_michael,artista_michael,Michael Jackson,Estados Unidos,album_thriller,Thriller,1982,artista_michael,usuario_brian,Brian,brian@email.com,hash_password_456,gratis,2025-10-20 18:07:06,,activo,"pop, hip-hop",lista_pop_brian,Pop Hits,usuario_brian,privada,FALSE,25
cancion_thriller,Thriller,357,Pop,1982-11-30,320kbps,album_thriller,artista_michael,artista_michael,Michael Jackson,Estados Unidos,album_thriller,Thriller,1982,artista_michael,usuario_kenny,Kenny,kenny@email.com,hash_password_789,premium,2025-10-20 18:07:06,2025-11-15,activo,"metal, industrial",lista_metal_kenny,Heavy Metal,usuario_kenny,publica,TRUE,100
cancion_crazy_train,Crazy Train,296,Heavy Metal,1980-09-20,320kbps,album_blizzard,artista_ozzy,artista_ozzy,Ozzy Osbourne,Reino Unido,album_blizzard,Blizzard of Ozz,1980,artista_ozzy,,,,,,,,,,,,,,,
cancion_mr_crowley,Mr. Crowley,285,Heavy Metal,1980-09-20,320kbps,album_blizzard,artista_ozzy,artista_ozzy,Ozzy Osbourne,Reino Unido,album_blizzard,Blizzard of Ozz,1980,artista_ozzy,,,,,,,,,,,,,,,
cancion_sonne,Sonne,277,Industrial Metal,2001-04-02,320kbps,album_mutter,artista_rammstein,artista_rammstein,Rammstein,Alemania,album_mutter,Mutter,2001,artista_rammstein,,,,,,,,,,,,,,,
cancion_ich_will,Ich Will,217,Industrial Metal,2001-04-02,320kbps,album_mutter,artista_rammstein,artista_rammstein,Rammstein,Alemania,album_mutter,Mutter,2001,artista_rammstein,,,,,,,,,,,,,,,
cancion_lalisa_song,LALISA,200,K-Pop,2021-09-10,320kbps,album_lalisa,artista_lalisa,artista_lalisa,Lalisa,Tailandia,album_lalisa,LALISA,2021,artista_lalisa,,,,,,,,,,,,,,,
cancion_money,MONEY,168,K-Pop,2021-09-10,320kbps,album_lalisa,artista_lalisa,artista_lalisa,Lalisa,Tailandia,album_lalisa,LALISA,2021,artista_lalisa,,,,,,,,,,,,,,,
cancion_sicko_mode,SICKO MODE,312,Hip-Hop,2018-08-03,320kbps,album_astroworld,artista_travis,artista_travis,Travis Scott,Estados Unidos,album_astroworld,Astroworld,2018,artista_travis,,,,,,,,,,,,,,,
cancion_stargazing,STARGAZING,270,Hip-Hop,2018-08-03,320kbps,album_astroworld,artista_travis,artista_travis,Travis Scott,Estados Unidos,album_astroworld,Astroworld,2018,artista_travis,,,,,,,,,,,,,,,
